,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
0,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
1,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
2,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
3,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
4,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
5,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
6,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
7,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
8,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
9,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
10,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
11,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
12,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
13,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
14,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
15,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
16,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
17,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
18,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
19,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
20,-0.31865835,-0.22610885,-0.23716584,-0.13248721,1.2130336,1.2125087,-0.022075742,0.053042434,0.12452531,0.19823515,0.24055389,0.05732633,-0.14841679,0.023416568,-0.19802462
21,-0.1803813,-0.106882796,-0.14409156,-0.052490845,1.2362739,1.2589953,-0.035974137,0.008293726,-0.031398997,0.250122,0.20157373,0.018310979,-0.019405775,-0.021523364,-0.11503284
22,-0.0144271925,0.014319148,-0.008060858,0.03226265,1.1383911,1.1750661,-0.03210119,-0.02102562,-0.0975211,0.28406793,0.18096739,-0.0022093058,0.05443807,-0.021108352,-0.019557968
23,0.00035460293,0.009852421,0.008827694,0.03256243,1.0737221,1.1002737,-0.048213236,-0.05310952,-0.07245749,0.2595647,0.16510206,0.018154904,0.043625936,0.0070080683,-0.012383044
24,-0.018118918,-0.012360092,-0.010962062,0.016984928,1.0609863,1.0873617,-0.08435587,-0.08553911,-0.04920025,0.23021416,0.15412879,0.027890965,0.024430387,0.024767846,-0.027691722
25,-0.031837262,-0.023856092,-0.027602032,0.0069655105,1.0779859,1.1119195,-0.12094175,-0.113680355,-0.036737904,0.21338852,0.14418623,0.02627036,0.018166907,0.033139344,-0.037161723
26,-0.038784385,-0.028336499,-0.038826942,0.0011007413,1.11176,1.1528134,-0.13838792,-0.12779433,-0.04083386,0.21702403,0.14181216,0.020522937,0.027479753,0.029281091,-0.040966704
27,-0.036934525,-0.027979743,-0.041828826,-0.00062354654,1.1289811,1.1733432,-0.13846388,-0.12991679,-0.045847103,0.22672874,0.14297307,0.019841328,0.034314916,0.023638219,-0.039945185
28,-0.030337378,-0.025495958,-0.039176956,-0.0002524294,1.1311239,1.1762282,-0.1340211,-0.129677,-0.04646428,0.23323423,0.14275882,0.021472678,0.035824247,0.0212572,-0.036668614
29,-0.021554284,-0.020871434,-0.033244386,0.0020940416,1.1290976,1.1744202,-0.13119909,-0.13054734,-0.044609025,0.23490566,0.14101861,0.023394257,0.035316177,0.021174725,-0.031781673
30,-0.014215909,-0.016405646,-0.02779375,0.00445918,1.1288869,1.1746247,-0.13016003,-0.1318832,-0.04284598,0.23482251,0.13942057,0.025120959,0.03539081,0.020989884,-0.027079627
31,-0.009135224,-0.013134327,-0.023972794,0.0060794614,1.1306691,1.176935,-0.1292192,-0.13237283,-0.041912958,0.23498693,0.13866396,0.026976675,0.03601758,0.019871704,-0.023334056
32,-0.0057484508,-0.011135418,-0.021501638,0.00693943,1.132036,1.1787483,-0.12771219,-0.13184926,-0.04157664,0.23542605,0.13846368,0.029155686,0.036514968,0.018084653,-0.020566404
33,-0.003321208,-0.01000407,-0.019793674,0.0073585883,1.1317805,1.1788816,-0.1259771,-0.13080776,-0.04146707,0.23552123,0.1383252,0.031478807,0.036530323,0.01613618,-0.018444166
34,-0.0014445335,-0.009374067,-0.018508099,0.007580504,1.1300809,1.1776246,-0.12445193,-0.1296432,-0.041434333,0.2349607,0.13802435,0.033701807,0.036157914,0.014274556,-0.016673282
35,0.000112868845,-0.008985896,-0.01746656,0.007749874,1.127491,1.1756003,-0.12324538,-0.12843287,-0.04151751,0.23381156,0.13756825,0.035705224,0.03563813,0.012508124,-0.015062168
36,0.0015003011,-0.008689899,-0.016561091,0.007938046,1.1243305,1.1731232,-0.12225192,-0.12711662,-0.041785046,0.23224932,0.13702418,0.037488326,0.035136193,0.010785796,-0.013510287
37,0.0028307661,-0.008399393,-0.015703678,0.008187037,1.1206727,1.1702303,-0.12135131,-0.1256494,-0.04224865,0.23037532,0.13642389,0.039094523,0.034701735,0.009093247,-0.011962533
38,0.0041799173,-0.008062679,-0.0148278475,0.00852377,1.1165117,1.166886,-0.12048506,-0.12403152,-0.04287578,0.22820634,0.13576221,0.040560186,0.03432984,0.0074466467,-0.01038532
39,0.005585864,-0.007650964,-0.013894945,0.008962754,1.1118608,1.1630901,-0.119638376,-0.12227856,-0.04362735,0.22572812,0.13502306,0.041905582,0.034011483,0.005861692,-0.008759528
40,0.0071259737,-0.0070939064,-0.01283139,0.009550568,1.1067593,1.1588799,-0.1187864,-0.12039306,-0.04448776,0.22293808,0.13419192,0.04313226,0.033771098,0.0043428354,-0.007034138
41,0.0005484,-0.013527449,-0.018788956,0.00513063,1.1006823,1.1536466,-0.12026731,-0.11897387,-0.044171616,0.21888271,0.13343345,0.04540582,0.030970596,0.0025768578,-0.010692567
42,0.00021998584,-0.014410313,-0.019399852,0.0050755404,1.0951004,1.1501445,-0.12025466,-0.11644358,-0.045162365,0.21512789,0.13245748,0.046150014,0.030268505,0.0007299483,-0.01023373
43,0.0050183088,-0.010780539,-0.015613027,0.008250706,1.0891204,1.145574,-0.11814494,-0.11366562,-0.04823859,0.21290818,0.13194016,0.045903087,0.032518715,-0.0011799037,-0.0061978847
44,0.009791337,-0.007293809,-0.01172673,0.011217307,1.0817559,1.138711,-0.115943946,-0.11127531,-0.050533235,0.20986009,0.13116929,0.04637754,0.033881754,-0.002305381,-0.0023079664
45,0.012460172,-0.005697649,-0.009494156,0.012741337,1.0737343,1.1311857,-0.11487051,-0.10915976,-0.05121866,0.20499831,0.12975252,0.04754895,0.033555448,-0.0029283874,6.894767e-05
46,0.013692722,-0.0051765926,-0.008410849,0.013493888,1.0661589,1.1246012,-0.11441653,-0.106750004,-0.051614568,0.19936042,0.12803455,0.048685476,0.032990232,-0.0038031265,0.0015697926
47,0.014381126,-0.0049171634,-0.007780969,0.014145492,1.0587626,1.1184882,-0.11372375,-0.1037856,-0.05275683,0.19392765,0.12636648,0.04946147,0.033106536,-0.0051667467,0.0028209835
